match_id,date,batter,batting_team,total_runs,times_out,balls_faced
1216492,2020-09-19,AT Rayudu,Chennai Super Kings,71,1,49
1216492,2020-09-19,F du Plessis,Chennai Super Kings,58,0,45
1216492,2020-09-19,HH Pandya,Mumbai Indians,14,1,10
1216492,2020-09-19,JJ Bumrah,Mumbai Indians,5,0,3
1216492,2020-09-19,JL Pattinson,Mumbai Indians,11,1,8
1216492,2020-09-19,KA Pollard,Mumbai Indians,18,1,14
1216492,2020-09-19,KH Pandya,Mumbai Indians,3,1,3
1216492,2020-09-19,M Vijay,Chennai Super Kings,1,1,8
1216492,2020-09-19,MS Dhoni,Chennai Super Kings,0,0,2
1216492,2020-09-19,Q de Kock,Mumbai Indians,33,1,22
1216492,2020-09-19,RA Jadeja,Chennai Super Kings,10,1,5
1216492,2020-09-19,RD Chahar,Mumbai Indians,2,0,4
1216492,2020-09-19,RG Sharma,Mumbai Indians,12,1,10
1216492,2020-09-19,SA Yadav,Mumbai Indians,17,1,18
1216492,2020-09-19,SM Curran,Chennai Super Kings,18,1,6
1216492,2020-09-19,SR Watson,Chennai Super Kings,4,1,5
1216492,2020-09-19,SS Tiwary,Mumbai Indians,42,1,31
1216492,2020-09-19,TA Boult,Mumbai Indians,0,1,1
1216493,2020-09-20,A Nortje,Delhi Capitals,3,0,1
1216493,2020-09-20,AR Patel,Delhi Capitals,6,1,9
1216493,2020-09-20,CJ Jordan,Kings XI Punjab,5,1,6
1216493,2020-09-20,GJ Maxwell,Kings XI Punjab,1,1,4
1216493,2020-09-20,K Gowtham,Kings XI Punjab,20,1,14
1216493,2020-09-20,KK Nair,Kings XI Punjab,1,1,3
1216493,2020-09-20,KL Rahul,Kings XI Punjab,23,2,21
1216493,2020-09-20,MA Agarwal,Kings XI Punjab,89,1,61
1216493,2020-09-20,MP Stoinis,Delhi Capitals,53,1,23
1216493,2020-09-20,N Pooran,Kings XI Punjab,0,2,4
1216493,2020-09-20,PP Shaw,Delhi Capitals,5,1,9
1216493,2020-09-20,R Ashwin,Delhi Capitals,4,1,6
1216493,2020-09-20,RR Pant,Delhi Capitals,33,1,35
1216493,2020-09-20,S Dhawan,Delhi Capitals,0,1,2
1216493,2020-09-20,SN Khan,Kings XI Punjab,12,1,12
1216493,2020-09-20,SO Hetmyer,Delhi Capitals,7,1,13
1216493,2020-09-20,SS Iyer,Delhi Capitals,39,1,33
1216494,2020-10-21,AJ Finch,Royal Challengers Bangalore,16,1,24
1216494,2020-10-21,D Padikkal,Royal Challengers Bangalore,25,0,17
1216494,2020-10-21,EJG Morgan,Kolkata Knight Riders,30,1,34
1216494,2020-10-21,Gurkeerat Singh,Royal Challengers Bangalore,21,1,26
1216494,2020-10-21,KD Karthik,Kolkata Knight Riders,4,1,14
1216494,2020-10-21,Kuldeep Yadav,Kolkata Knight Riders,12,0,19
1216494,2020-10-21,LH Ferguson,Kolkata Knight Riders,19,1,16
1216494,2020-10-21,N Rana,Kolkata Knight Riders,0,1,1
1216494,2020-10-21,PJ Cummins,Kolkata Knight Riders,4,1,17
1216494,2020-10-21,RA Tripathi,Kolkata Knight Riders,1,1,5
1216494,2020-10-21,Shubman Gill,Kolkata Knight Riders,1,1,7
1216494,2020-10-21,T Banton,Kolkata Knight Riders,10,1,8
1216494,2020-10-21,V Kohli,Royal Challengers Bangalore,18,0,17
1216495,2020-11-03,DA Warner,Sunrisers Hyderabad,85,0,61
1216495,2020-11-03,DS Kulkarni,Mumbai Indians,3,0,2
1216495,2020-11-03,Ishan Kishan,Mumbai Indians,33,1,30
1216495,2020-11-03,JL Pattinson,Mumbai Indians,4,0,5
1216495,2020-11-03,KA Pollard,Mumbai Indians,41,1,25
1216495,2020-11-03,KH Pandya,Mumbai Indians,0,1,3
1216495,2020-11-03,NM Coulter-Nile,Mumbai Indians,1,1,3
1216495,2020-11-03,Q de Kock,Mumbai Indians,25,1,13
1216495,2020-11-03,RG Sharma,Mumbai Indians,4,1,7
1216495,2020-11-03,SA Yadav,Mumbai Indians,36,1,29
1216495,2020-11-03,SS Tiwary,Mumbai Indians,1,1,3
1216495,2020-11-03,WP Saha,Sunrisers Hyderabad,58,0,46
1216496,2020-09-22,F du Plessis,Chennai Super Kings,72,1,38
1216496,2020-09-22,JC Archer,Rajasthan Royals,27,0,9
1216496,2020-09-22,KM Jadhav,Chennai Super Kings,22,1,17
1216496,2020-09-22,M Vijay,Chennai Super Kings,21,1,21
1216496,2020-09-22,MS Dhoni,Chennai Super Kings,29,0,17
1216496,2020-09-22,R Parag,Rajasthan Royals,6,1,4
1216496,2020-09-22,R Tewatia,Rajasthan Royals,10,1,8
1216496,2020-09-22,RA Jadeja,Chennai Super Kings,1,0,2
1216496,2020-09-22,RD Gaikwad,Chennai Super Kings,0,1,1
1216496,2020-09-22,RV Uthappa,Rajasthan Royals,5,1,9
1216496,2020-09-22,SM Curran,Chennai Super Kings,17,1,6
1216496,2020-09-22,SPD Smith,Rajasthan Royals,69,2,51
1216496,2020-09-22,SR Watson,Chennai Super Kings,33,1,22
1216496,2020-09-22,SV Samson,Rajasthan Royals,74,1,32
1216496,2020-09-22,TK Curran,Rajasthan Royals,10,0,9
1216496,2020-09-22,YBK Jaiswal,Rajasthan Royals,6,1,6
1216497,2020-10-24,AM Rahane,Delhi Capitals,0,1,1
1216497,2020-10-24,AR Patel,Delhi Capitals,9,1,8
1216497,2020-10-24,EJG Morgan,Kolkata Knight Riders,17,1,9
1216497,2020-10-24,K Rabada,Delhi Capitals,9,1,10
1216497,2020-10-24,KD Karthik,Kolkata Knight Riders,3,1,6
1216497,2020-10-24,MP Stoinis,Delhi Capitals,6,1,6
1216497,2020-10-24,N Rana,Kolkata Knight Riders,81,1,55
1216497,2020-10-24,R Ashwin,Delhi Capitals,14,0,13
1216497,2020-10-24,RA Tripathi,Kolkata Knight Riders,13,1,12
1216497,2020-10-24,RR Pant,Delhi Capitals,27,1,34
1216497,2020-10-24,S Dhawan,Delhi Capitals,6,1,6
1216497,2020-10-24,SO Hetmyer,Delhi Capitals,10,1,5
1216497,2020-10-24,SP Narine,Kolkata Knight Riders,64,1,35
1216497,2020-10-24,SS Iyer,Delhi Capitals,47,1,39
1216497,2020-10-24,Shubman Gill,Kolkata Knight Riders,9,1,8
1216497,2020-10-24,TU Deshpande,Delhi Capitals,1,1,3
1216498,2020-10-24,Abdul Samad,Sunrisers Hyderabad,7,1,5
1216498,2020-10-24,CH Gayle,Kings XI Punjab,20,1,21
1216498,2020-10-24,CJ Jordan,Kings XI Punjab,7,1,14
1216498,2020-10-24,DA Warner,Sunrisers Hyderabad,35,1,21
1216498,2020-10-24,DJ Hooda,Kings XI Punjab,0,1,3
1216498,2020-10-24,GJ Maxwell,Kings XI Punjab,12,1,13
1216498,2020-10-24,JM Bairstow,Sunrisers Hyderabad,19,1,21
1216498,2020-10-24,JO Holder,Sunrisers Hyderabad,5,1,8
1216498,2020-10-24,KK Ahmed,Sunrisers Hyderabad,0,1,2
1216498,2020-10-24,KL Rahul,Kings XI Punjab,27,1,27
1216498,2020-10-24,M Ashwin,Kings XI Punjab,4,1,4
1216498,2020-10-24,MK Pandey,Sunrisers Hyderabad,15,1,30
1216498,2020-10-24,Mandeep Singh,Kings XI Punjab,17,1,14
1216498,2020-10-24,N Pooran,Kings XI Punjab,32,0,29
1216498,2020-10-24,PK Garg,Sunrisers Hyderabad,3,1,5
1216498,2020-10-24,Rashid Khan,Sunrisers Hyderabad,0,1,1
1216498,2020-10-24,Sandeep Sharma,Sunrisers Hyderabad,0,1,2
1216498,2020-10-24,V Shankar,Sunrisers Hyderabad,26,1,28
1216499,2020-10-28,AB de Villiers,Royal Challengers Bangalore,15,1,12
1216499,2020-10-28,CH Morris,Royal Challengers Bangalore,4,1,2
1216499,2020-10-28,D Padikkal,Royal Challengers Bangalore,74,1,46
1216499,2020-10-28,Gurkeerat Singh,Royal Challengers Bangalore,14,0,12
1216499,2020-10-28,HH Pandya,Mumbai Indians,17,1,19
1216499,2020-10-28,Ishan Kishan,Mumbai Indians,25,1,20
1216499,2020-10-28,JR Philippe,Royal Challengers Bangalore,33,1,24
1216499,2020-10-28,KA Pollard,Mumbai Indians,4,0,1
1216499,2020-10-28,KH Pandya,Mumbai Indians,10,1,10
1216499,2020-10-28,Q de Kock,Mumbai Indians,18,1,19
1216499,2020-10-28,S Dube,Royal Challengers Bangalore,2,1,6
1216499,2020-10-28,SA Yadav,Mumbai Indians,79,0,44
1216499,2020-10-28,SS Tiwary,Mumbai Indians,5,1,8
1216499,2020-10-28,V Kohli,Royal Challengers Bangalore,9,1,14
1216499,2020-10-28,Washington Sundar,Royal Challengers Bangalore,10,0,7
1216500,2020-10-09,AJ Tye,Rajasthan Royals,6,1,7
1216500,2020-10-09,AR Patel,Delhi Capitals,17,1,10
1216500,2020-10-09,HV Patel,Delhi Capitals,16,1,15
1216500,2020-10-09,JC Archer,Rajasthan Royals,2,1,4
1216500,2020-10-09,JC Buttler,Rajasthan Royals,13,1,8
