match_id,date,bowler,wickets,runs_given,overs_bowled
1216492,2020-09-19,DL Chahar,2,31,4
1216492,2020-09-19,JJ Bumrah,1,41,4
1216492,2020-09-19,JL Pattinson,1,26,4
1216492,2020-09-19,KH Pandya,1,36,4
1216492,2020-09-19,L Ngidi,3,36,4
1216492,2020-09-19,PP Chawla,1,20,4
1216492,2020-09-19,RA Jadeja,2,42,4
1216492,2020-09-19,RD Chahar,1,36,4
1216492,2020-09-19,SM Curran,1,28,4
1216492,2020-09-19,TA Boult,1,23,4
1216493,2020-09-20,A Nortje,0,33,4
1216493,2020-09-20,AR Patel,1,14,4
1216493,2020-09-20,CJ Jordan,1,52,4
1216493,2020-09-20,K Gowtham,0,39,4
1216493,2020-09-20,K Rabada,4,29,5
1216493,2020-09-20,MM Sharma,1,44,4
1216493,2020-09-20,MP Stoinis,2,29,3
1216493,2020-09-20,Mohammed Shami,4,15,5
1216493,2020-09-20,R Ashwin,2,2,1
1216493,2020-09-20,Ravi Bishnoi,1,21,4
1216493,2020-09-20,SS Cottrell,2,23,4
1216494,2020-10-21,CH Morris,1,15,4
1216494,2020-10-21,CV Varun,0,28,4
1216494,2020-10-21,I Udana,0,6,1
1216494,2020-10-21,LH Ferguson,2,16,4
1216494,2020-10-21,M Prasidh Krishna,0,19,3
1216494,2020-10-21,Mohammed Siraj,3,8,4
1216494,2020-10-21,Navdeep Saini,1,23,3
1216494,2020-10-21,PJ Cummins,0,17,3
1216494,2020-10-21,Washington Sundar,1,14,4
1216494,2020-10-21,YS Chahal,2,15,4
1216495,2020-11-03,DS Kulkarni,0,20,3
1216495,2020-11-03,JL Pattinson,0,29,3
1216495,2020-11-03,JO Holder,2,25,4
1216495,2020-11-03,KH Pandya,0,32,4
1216495,2020-11-03,NM Coulter-Nile,0,26,4
1216495,2020-11-03,RD Chahar,0,36,4
1216495,2020-11-03,Rashid Khan,1,32,4
1216495,2020-11-03,S Nadeem,2,19,4
1216495,2020-11-03,Sandeep Sharma,3,34,4
1216495,2020-11-03,T Natarajan,0,38,4
1216496,2020-09-22,DL Chahar,1,31,4
1216496,2020-09-22,JC Archer,1,25,4
1216496,2020-09-22,JD Unadkat,0,42,4
1216496,2020-09-22,L Ngidi,2,52,4
1216496,2020-09-22,PP Chawla,1,54,4
1216496,2020-09-22,R Tewatia,3,37,4
1216496,2020-09-22,RA Jadeja,0,38,4
1216496,2020-09-22,S Gopal,1,38,4
1216496,2020-09-22,SM Curran,3,32,4
1216496,2020-09-22,TK Curran,1,53,4
1216497,2020-10-24,A Nortje,2,27,4
1216497,2020-10-24,AR Patel,0,7,1
1216497,2020-10-24,CV Varun,5,19,4
1216497,2020-10-24,K Rabada,2,30,4
1216497,2020-10-24,KL Nagarkoti,0,11,2
1216497,2020-10-24,LH Ferguson,1,30,4
1216497,2020-10-24,M Prasidh Krishna,0,16,2
1216497,2020-10-24,MP Stoinis,2,39,4
1216497,2020-10-24,PJ Cummins,3,17,4
1216497,2020-10-24,R Ashwin,0,45,3
1216497,2020-10-24,SP Narine,0,36,4
1216497,2020-10-24,TU Deshpande,0,39,4
1216498,2020-10-24,Arshdeep Singh,4,22,4
1216498,2020-10-24,CJ Jordan,3,15,4
1216498,2020-10-24,JO Holder,2,25,4
1216498,2020-10-24,KK Ahmed,1,31,4
1216498,2020-10-24,M Ashwin,1,27,4
1216498,2020-10-24,Mohammed Shami,1,33,4
1216498,2020-10-24,Rashid Khan,2,14,4
1216498,2020-10-24,Ravi Bishnoi,1,13,4
1216498,2020-10-24,Sandeep Sharma,2,28,4
1216498,2020-10-24,T Natarajan,0,21,4
