Unnamed: 0,match_id,player,batting_team,runs,balls_faced,fours,sixes,is_dismissed,dismissal_kind,inning,strike_rate,balls_bowled,runs_conceded,dot_balls,wickets,overs,economy,maidens,catches,run_outs,direct_run_out,stadium,pitch_type,grass_cover,moisture,dew_prediction,bounce_and_carry,fantasy_points,matchYear,matchMonth,matchDay,matchDayOfWeek,matchDayOfYear
0,1216492,AT Rayudu,Chennai Super Kings,71.0,49.0,6.0,3.0,1.0,caught and bowled,2.0,144.89795918367346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,123.0,2020,9,19,5,263
5,1216492,JL Pattinson,Mumbai Indians,11.0,8.0,2.0,0.0,1.0,caught,1.0,137.5,25.0,26.0,11.0,1.0,4.0,6.5,0.0,1.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,70.0,2020,9,19,5,263
8,1216492,L Ngidi,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,36.0,10.0,3.0,4.0,9.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,104.0,2020,9,19,5,263
7,1216492,KH Pandya,Mumbai Indians,3.0,3.0,0.0,0.0,1.0,caught,1.0,100.0,25.0,36.0,3.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,36.0,2020,9,19,5,263
6,1216492,KA Pollard,Mumbai Indians,18.0,14.0,1.0,1.0,1.0,caught,1.0,128.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,28.0,2020,9,19,5,263
1,1216492,DL Chahar,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,31.0,8.0,2.0,4.0,7.75,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,68.0,2020,9,19,5,263
3,1216492,HH Pandya,Mumbai Indians,14.0,10.0,0.0,2.0,1.0,caught,1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,28.0,2020,9,19,5,263
2,1216492,F du Plessis,Chennai Super Kings,58.0,45.0,6.0,0.0,0.0,0,2.0,128.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,117.0,2020,9,19,5,263
10,1216492,MS Dhoni,Chennai Super Kings,0.0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,16.0,2020,9,19,5,263
9,1216492,M Vijay,Chennai Super Kings,1.0,8.0,0.0,0.0,1.0,lbw,2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,1.0,2020,9,19,5,263
4,1216492,JJ Bumrah,Mumbai Indians,5.0,3.0,0.0,0.0,0.0,0,1.0,166.66666666666669,26.0,41.0,11.0,1.0,4.0,10.25,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,44.0,2020,9,19,5,263
11,1216492,PP Chawla,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,25.0,20.0,12.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,46.0,2020,9,19,5,263
12,1216492,Q de Kock,Mumbai Indians,33.0,22.0,5.0,0.0,1.0,caught,1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,57.0,2020,9,19,5,263
13,1216492,RA Jadeja,Chennai Super Kings,10.0,5.0,2.0,0.0,1.0,lbw,2.0,200.0,24.0,42.0,5.0,2.0,4.0,10.5,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,81.0,2020,9,19,5,263
14,1216492,RD Chahar,Mumbai Indians,2.0,4.0,0.0,0.0,0.0,0,1.0,50.0,24.0,36.0,2.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,34.0,2020,9,19,5,263
16,1216492,SA Yadav,Mumbai Indians,17.0,18.0,2.0,0.0,1.0,caught,1.0,94.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,25.0,2020,9,19,5,263
17,1216492,SM Curran,Chennai Super Kings,18.0,6.0,1.0,2.0,1.0,caught,2.0,300.0,24.0,28.0,9.0,1.0,4.0,7.0,0.0,2.0,0.0,0.0,Sheikh Zayed Stadium,Sluggish,Low,Low,High,Sluggish,89.0,2020,9,19,5,263
